ZIP Code,County,Type
ZIP Code 13204,Onondaga,Standard
ZIP Code 13205,Onondaga,Standard
ZIP Code 13206,Onondaga,Standard
ZIP Code 13207,Onondaga,Standard
ZIP Code 13208,Onondaga,Standard
ZIP Code 13209,Onondaga,Standard
ZIP Code 13210,Onondaga,Standard
ZIP Code 13211,Onondaga,Standard
ZIP Code 13212,Onondaga,Standard
ZIP Code 13214,Onondaga,Standard
ZIP Code 13215,Onondaga,Standard
ZIP Code 13217,Onondaga,P.O. Box
ZIP Code 13218,Onondaga,P.O. Box
ZIP Code 13219,Onondaga,Standard
ZIP Code 13220,Onondaga,P.O. Box
ZIP Code 13221,Onondaga,P.O. Box
ZIP Code 13224,Onondaga,Standard
ZIP Code 13225,Onondaga,Unique
ZIP Code 13235,Onondaga,P.O. Box
ZIP Code 13244,Onondaga,Unique
ZIP Code 13250,Onondaga,Unique
ZIP Code 13251,Onondaga,Unique
ZIP Code 13252,Onondaga,Unique
ZIP Code 13261,Onondaga,P.O. Box
ZIP Code 13290,Onondaga,Standard
ZIP Code 13301,Oneida,Standard
ZIP Code 13302,Oswego,Standard
ZIP Code 13303,Oneida,Standard
ZIP Code 13304,Oneida,Standard
ZIP Code 13305,Lewis,P.O. Box
ZIP Code 13308,Oneida,Standard
ZIP Code 13309,Oneida,Standard
ZIP Code 13310,Madison,Standard
ZIP Code 13312,Lewis,P.O. Box
ZIP Code 13313,Oneida,P.O. Box
ZIP Code 13314,Madison,Standard
ZIP Code 13315,Otsego,Standard
ZIP Code 13316,Oneida,Standard
ZIP Code 13317,Montgomery,Standard
ZIP Code 13318,Oneida,Standard
ZIP Code 13319,Oneida,Standard
ZIP Code 13320,Otsego,Standard
ZIP Code 13321,Oneida,P.O. Box
ZIP Code 13322,Oneida,Standard
ZIP Code 13323,Oneida,Standard
ZIP Code 13324,Herkimer,Standard
ZIP Code 13325,Lewis,Standard
ZIP Code 13326,Otsego,Standard
ZIP Code 13327,Lewis,Standard
ZIP Code 13328,Oneida,Standard
ZIP Code 13329,Herkimer,Standard
ZIP Code 13331,Herkimer,Standard
ZIP Code 13332,Chenango,Standard
ZIP Code 13333,Otsego,Standard
ZIP Code 13334,Madison,Standard
ZIP Code 13335,Otsego,Standard
ZIP Code 13337,Otsego,Standard
ZIP Code 13338,Oneida,Standard
ZIP Code 13339,Montgomery,Standard
ZIP Code 13340,Herkimer,Standard
ZIP Code 13341,Oneida,P.O. Box
ZIP Code 13342,Otsego,Standard
ZIP Code 13343,Lewis,Standard
ZIP Code 13345,Lewis,Standard
ZIP Code 13346,Madison,Standard
ZIP Code 13348,Otsego,Standard
ZIP Code 13350,Herkimer,Standard
ZIP Code 13352,Oneida,P.O. Box
ZIP Code 13353,Hamilton,P.O. Box
ZIP Code 13354,Oneida,Standard
ZIP Code 13355,Madison,Standard
ZIP Code 13357,Herkimer,Standard
ZIP Code 13360,Hamilton,Standard
ZIP Code 13361,Herkimer,Standard
ZIP Code 13362,Oneida,P.O. Box
ZIP Code 13363,Oneida,Standard
ZIP Code 13364,Madison,P.O. Box
ZIP Code 13365,Herkimer,Standard
ZIP Code 13367,Lewis,Standard
ZIP Code 13368,Lewis,Standard
ZIP Code 13401,Oneida,P.O. Box
ZIP Code 13402,Madison,Standard
ZIP Code 13403,Oneida,Standard
ZIP Code 13404,Lewis,P.O. Box
ZIP Code 13406,Herkimer,Standard
ZIP Code 13407,Herkimer,Standard
ZIP Code 13408,Madison,Standard
ZIP Code 13409,Madison,Standard
ZIP Code 13410,Montgomery,P.O. Box
ZIP Code 13411,Chenango,Standard
ZIP Code 13413,Oneida,Standard
ZIP Code 13415,Otsego,Standard
ZIP Code 13416,Herkimer,Standard
ZIP Code 13417,Oneida,Standard
ZIP Code 13418,Madison,Standard
ZIP Code 13420,Herkimer,Standard
ZIP Code 13421,Madison,Standard
ZIP Code 13424,Oneida,Standard
ZIP Code 13425,Oneida,Standard
ZIP Code 13426,Oswego,P.O. Box
ZIP Code 13428,Montgomery,Standard
ZIP Code 13431,Herkimer,Standard
ZIP Code 13433,Lewis,Standard
ZIP Code 13435,Oneida,P.O. Box
ZIP Code 13436,Hamilton,Standard
ZIP Code 13437,Oswego,Standard
ZIP Code 13438,Oneida,Standard
ZIP Code 13439,Otsego,Standard
ZIP Code 13440,Oneida,Standard
ZIP Code 13441,Oneida,Standard
ZIP Code 13442,Oneida,P.O. Box
ZIP Code 13449,Oneida,Unique
ZIP Code 13450,Otsego,Standard
ZIP Code 13452,Montgomery,Standard
ZIP Code 13454,Herkimer,Standard
ZIP Code 13455,Oneida,P.O. Box
ZIP Code 13456,Oneida,Standard
ZIP Code 13457,Otsego,P.O. Box
ZIP Code 13459,Schoharie,Standard
ZIP Code 13460,Chenango,Standard
ZIP Code 13461,Oneida,Standard
ZIP Code 13464,Chenango,Standard
ZIP Code 13465,Madison,Standard
ZIP Code 13468,Otsego,Standard
ZIP Code 13469,Oneida,Standard
ZIP Code 13470,Fulton,Standard
ZIP Code 13471,Oneida,Standard
ZIP Code 13472,Herkimer,P.O. Box
ZIP Code 13473,Lewis,Standard
ZIP Code 13475,Herkimer,Standard
ZIP Code 13476,Oneida,Standard
ZIP Code 13477,Oneida,Standard
ZIP Code 13478,Oneida,Standard
ZIP Code 13479,Oneida,P.O. Box
ZIP Code 13480,Oneida,Standard
ZIP Code 13482,Otsego,Standard
ZIP Code 13483,Oneida,Standard
ZIP Code 13484,Madison,P.O. Box
ZIP Code 13485,Madison,Standard
ZIP Code 13486,Oneida,Standard
ZIP Code 13488,Otsego,Standard
ZIP Code 13489,Lewis,Standard
ZIP Code 13490,Oneida,Standard
ZIP Code 13491,Herkimer,Standard
ZIP Code 13492,Oneida,Standard
ZIP Code 13493,Oswego,Standard
ZIP Code 13494,Oneida,Standard
ZIP Code 13495,Oneida,Standard
ZIP Code 13501,Oneida,Standard
ZIP Code 13502,Oneida,Standard
ZIP Code 13503,Oneida,P.O. Box
ZIP Code 13504,Oneida,P.O. Box
ZIP Code 13505,Oneida,P.O. Box
ZIP Code 13599,Oneida,Unique
ZIP Code 13601,Jefferson,Standard
ZIP Code 13602,Jefferson,Standard
ZIP Code 13603,Jefferson,Standard
ZIP Code 13605,Jefferson,Standard
ZIP Code 13606,Jefferson,Standard
ZIP Code 13607,Jefferson,Standard
ZIP Code 13608,Jefferson,Standard
ZIP Code 13611,Jefferson,P.O. Box
ZIP Code 13612,Jefferson,Standard
ZIP Code 13613,Saint Lawrence,Standard
ZIP Code 13614,Saint Lawrence,Standard
ZIP Code 13615,Jefferson,P.O. Box
ZIP Code 13616,Jefferson,Standard
ZIP Code 13617,Saint Lawrence,Standard
ZIP Code 13618,Jefferson,Standard
ZIP Code 13619,Jefferson,Standard
ZIP Code 13620,Lewis,Standard
ZIP Code 13621,Saint Lawrence,Standard
ZIP Code 13622,Jefferson,Standard
ZIP Code 13623,Saint Lawrence,P.O. Box
ZIP Code 13624,Jefferson,Standard
ZIP Code 13625,Saint Lawrence,Standard
ZIP Code 13626,Lewis,Standard
ZIP Code 13627,Lewis,P.O. Box
ZIP Code 13628,Jefferson,P.O. Box
ZIP Code 13630,Saint Lawrence,Standard
ZIP Code 13631,Lewis,P.O. Box
ZIP Code 13632,Jefferson,P.O. Box
ZIP Code 13633,Saint Lawrence,Standard
ZIP Code 13634,Jefferson,Standard
ZIP Code 13635,Saint Lawrence,Standard
ZIP Code 13636,Jefferson,Standard
ZIP Code 13637,Jefferson,Standard
ZIP Code 13638,Jefferson,Standard
ZIP Code 13639,Saint Lawrence,Standard
ZIP Code 13640,Jefferson,Standard
ZIP Code 13641,Jefferson,P.O. Box
ZIP Code 13642,Saint Lawrence,Standard
ZIP Code 13643,Jefferson,P.O. Box
ZIP Code 13645,Saint Lawrence,P.O. Box
ZIP Code 13646,Saint Lawrence,Standard
ZIP Code 13647,Saint Lawrence,P.O. Box
ZIP Code 13648,Lewis,Standard
ZIP Code 13649,Saint Lawrence,P.O. Box
ZIP Code 13650,Jefferson,Standard
ZIP Code 13651,Jefferson,P.O. Box
ZIP Code 13652,Saint Lawrence,Standard
ZIP Code 13654,Saint Lawrence,Standard
ZIP Code 13655,Franklin,Standard
ZIP Code 13656,Jefferson,Standard
ZIP Code 13657,Jefferson,P.O. Box
ZIP Code 13658,Saint Lawrence,Standard
ZIP Code 13659,Jefferson,Standard
ZIP Code 13660,Saint Lawrence,Standard
ZIP Code 13661,Jefferson,Standard
ZIP Code 13662,Saint Lawrence,Standard
ZIP Code 13664,Saint Lawrence,Standard
ZIP Code 13665,Jefferson,Standard
ZIP Code 13666,Saint Lawrence,P.O. Box
ZIP Code 13667,Saint Lawrence,Standard
ZIP Code 13668,Saint Lawrence,Standard
ZIP Code 13669,Saint Lawrence,Standard
ZIP Code 13670,Saint Lawrence,Standard
ZIP Code 13671,Jefferson,P.O. Box
ZIP Code 13672,Saint Lawrence,Standard
ZIP Code 13673,Jefferson,Standard
ZIP Code 13674,Jefferson,P.O. Box
ZIP Code 13675,Jefferson,Standard
ZIP Code 13676,Saint Lawrence,Standard
ZIP Code 13677,Saint Lawrence,P.O. Box
ZIP Code 13678,Saint Lawrence,P.O. Box
ZIP Code 13679,Jefferson,Standard
ZIP Code 13680,Saint Lawrence,Standard
ZIP Code 13681,Saint Lawrence,Standard
ZIP Code 13682,Jefferson,Standard
ZIP Code 13683,Saint Lawrence,P.O. Box
ZIP Code 13684,Saint Lawrence,Standard
ZIP Code 13685,Jefferson,Standard
ZIP Code 13687,Saint Lawrence,Standard
ZIP Code 13690,Saint Lawrence,Standard
ZIP Code 13691,Jefferson,Standard
ZIP Code 13692,Jefferson,P.O. Box
ZIP Code 13693,Jefferson,Standard
ZIP Code 13694,Saint Lawrence,Standard
ZIP Code 13695,Saint Lawrence,P.O. Box
ZIP Code 13696,Saint Lawrence,Standard
ZIP Code 13697,Saint Lawrence,Standard
ZIP Code 13699,Saint Lawrence,Unique
ZIP Code 13730,Chenango,Standard
ZIP Code 13731,Delaware,Standard
ZIP Code 13732,Tioga,Standard
ZIP Code 13733,Chenango,Standard
ZIP Code 13734,Tioga,Standard
ZIP Code 13736,Tioga,Standard
ZIP Code 13737,Broome,P.O. Box
ZIP Code 13738,Cortland,P.O. Box
ZIP Code 13739,Delaware,Standard
ZIP Code 13740,Delaware,Standard
ZIP Code 13743,Tioga,Standard
ZIP Code 13744,Broome,Standard
ZIP Code 13745,Broome,P.O. Box
ZIP Code 13746,Broome,Standard
ZIP Code 13747,Otsego,P.O. Box
ZIP Code 13748,Broome,Standard
ZIP Code 13749,Broome,P.O. Box
ZIP Code 13750,Delaware,Standard
ZIP Code 13751,Delaware,Standard
ZIP Code 13752,Delaware,Standard
ZIP Code 13753,Delaware,Standard
ZIP Code 13754,Broome,Standard
ZIP Code 13755,Delaware,Standard
ZIP Code 13756,Delaware,Standard
ZIP Code 13757,Delaware,Standard
ZIP Code 13758,Chenango,P.O. Box
ZIP Code 13760,Broome,Standard
ZIP Code 13761,Broome,P.O. Box
ZIP Code 13762,Broome,P.O. Box
ZIP Code 13763,Broome,P.O. Box
ZIP Code 13774,Delaware,P.O. Box
ZIP Code 13775,Delaware,Standard
ZIP Code 13776,Otsego,Standard
ZIP Code 13777,Broome,Standard
ZIP Code 13778,Chenango,Standard
ZIP Code 13780,Chenango,Standard
ZIP Code 13782,Delaware,Standard
ZIP Code 13783,Delaware,Standard
ZIP Code 13784,Cortland,P.O. Box
ZIP Code 13786,Delaware,Standard
ZIP Code 13787,Broome,Standard
ZIP Code 13788,Delaware,Standard
ZIP Code 13790,Broome,Standard
ZIP Code 13794,Broome,P.O. Box
ZIP Code 13795,Broome,Standard
ZIP Code 13796,Otsego,Standard
ZIP Code 13797,Broome,Standard
ZIP Code 13801,Chenango,Standard
ZIP Code 13802,Broome,Standard
ZIP Code 13803,Cortland,Standard
ZIP Code 13804,Delaware,Standard
ZIP Code 13806,Delaware,Standard
ZIP Code 13807,Otsego,Standard
ZIP Code 13808,Otsego,Standard
ZIP Code 13809,Chenango,Standard
ZIP Code 13810,Otsego,Standard
ZIP Code 13811,Tioga,Standard
ZIP Code 13812,Tioga,Standard
ZIP Code 13813,Broome,Standard
ZIP Code 13814,Chenango,P.O. Box
ZIP Code 13815,Chenango,Standard
ZIP Code 13820,Otsego,Standard
ZIP Code 13825,Otsego,Standard
ZIP Code 13826,Broome,Standard
ZIP Code 13827,Tioga,Standard
ZIP Code 13830,Chenango,Standard
ZIP Code 13832,Chenango,Standard
ZIP Code 13833,Broome,Standard
ZIP Code 13834,Otsego,Standard
ZIP Code 13835,Tioga,Standard
ZIP Code 13838,Delaware,Standard
ZIP Code 13839,Delaware,Standard
ZIP Code 13840,Tioga,P.O. Box
ZIP Code 13841,Chenango,Standard
ZIP Code 13842,Delaware,Standard
ZIP Code 13843,Chenango,Standard
ZIP Code 13844,Chenango,Standard
ZIP Code 13845,Tioga,P.O. Box
ZIP Code 13846,Delaware,Standard
ZIP Code 13847,Delaware,P.O. Box
ZIP Code 13848,Broome,P.O. Box
ZIP Code 13849,Otsego,Standard
ZIP Code 13850,Broome,Standard
ZIP Code 13851,Broome,P.O. Box
ZIP Code 13856,Delaware,Standard
ZIP Code 13859,Otsego,Standard
ZIP Code 13860,Delaware,P.O. Box
ZIP Code 13861,Otsego,Standard
ZIP Code 13862,Broome,Standard
ZIP Code 13863,Cortland,Standard
ZIP Code 13864,Tioga,Standard
ZIP Code 13865,Broome,Standard
ZIP Code 13901,Broome,Standard
ZIP Code 13902,Broome,P.O. Box
ZIP Code 13903,Broome,Standard
ZIP Code 13904,Broome,Standard
ZIP Code 13905,Broome,Standard
ZIP Code 14001,Erie,Standard
ZIP Code 14004,Erie,Standard
ZIP Code 14005,Genesee,Standard
ZIP Code 14006,Erie,Standard
ZIP Code 14008,Niagara,Standard
ZIP Code 14009,Wyoming,Standard
ZIP Code 14010,Erie,P.O. Box
ZIP Code 14011,Wyoming,Standard
ZIP Code 14012,Niagara,Standard
ZIP Code 14013,Genesee,Standard
ZIP Code 14020,Genesee,Standard
ZIP Code 14021,Genesee,P.O. Box
ZIP Code 14024,Wyoming,Standard
ZIP Code 14025,Erie,Standard
ZIP Code 14026,Erie,Standard
ZIP Code 14027,Erie,P.O. Box
ZIP Code 14028,Niagara,Standard
ZIP Code 14029,Allegany,P.O. Box
ZIP Code 14030,Erie,Standard
ZIP Code 14031,Erie,Standard
ZIP Code 14032,Erie,Standard
ZIP Code 14033,Erie,Standard
ZIP Code 14034,Erie,Standard
ZIP Code 14035,Erie,P.O. Box
ZIP Code 14036,Genesee,Standard
ZIP Code 14037,Wyoming,Standard
ZIP Code 14038,Erie,P.O. Box
ZIP Code 14039,Wyoming,Standard
ZIP Code 14040,Genesee,Standard
ZIP Code 14041,Cattaraugus,Standard
ZIP Code 14042,Cattaraugus,Standard
ZIP Code 14043,Erie,Standard
ZIP Code 14047,Erie,Standard
ZIP Code 14048,Chautauqua,Standard
ZIP Code 14051,Erie,Standard
ZIP Code 14052,Erie,Standard
ZIP Code 14054,Genesee,Standard
ZIP Code 14055,Erie,Standard
ZIP Code 14056,Genesee,P.O. Box
ZIP Code 14057,Erie,Standard
ZIP Code 14058,Genesee,Standard
ZIP Code 14059,Erie,Standard
ZIP Code 14060,Cattaraugus,Standard
ZIP Code 14061,Erie,P.O. Box
ZIP Code 14062,Chautauqua,Standard
ZIP Code 14063,Chautauqua,Standard
ZIP Code 14065,Cattaraugus,Standard
ZIP Code 14066,Wyoming,Standard
ZIP Code 14067,Niagara,Standard
ZIP Code 14068,Erie,Standard
ZIP Code 14069,Erie,Standard
ZIP Code 14070,Cattaraugus,Standard
ZIP Code 14072,Erie,Standard
ZIP Code 14075,Erie,Standard
ZIP Code 14080,Erie,Standard
ZIP Code 14081,Chautauqua,Standard
ZIP Code 14082,Wyoming,Standard
ZIP Code 14083,Wyoming,Standard
ZIP Code 14085,Erie,Standard
ZIP Code 14086,Erie,Standard
ZIP Code 14091,Erie,Standard
ZIP Code 14092,Niagara,Standard
ZIP Code 14094,Niagara,Standard
ZIP Code 14095,Niagara,P.O. Box
ZIP Code 14098,Orleans,Standard
ZIP Code 14101,Cattaraugus,Standard
ZIP Code 14102,Erie,Standard
ZIP Code 14103,Orleans,Standard
ZIP Code 14105,Niagara,Standard
ZIP Code 14107,Niagara,P.O. Box
ZIP Code 14108,Niagara,Standard
ZIP Code 14109,Niagara,P.O. Box
ZIP Code 14110,Erie,P.O. Box
ZIP Code 14111,Erie,Standard
ZIP Code 14112,Erie,P.O. Box
ZIP Code 14113,Wyoming,Standard
ZIP Code 14120,Niagara,Standard
ZIP Code 14125,Genesee,Standard
ZIP Code 14126,Niagara,P.O. Box
ZIP Code 14127,Erie,Standard
ZIP Code 14129,Cattaraugus,Standard
ZIP Code 14130,Wyoming,P.O. Box
ZIP Code 14131,Niagara,Standard
ZIP Code 14132,Niagara,Standard
ZIP Code 14133,Cattaraugus,P.O. Box
ZIP Code 14134,Erie,Standard
ZIP Code 14135,Chautauqua,P.O. Box
ZIP Code 14136,Chautauqua,Standard
ZIP Code 14138,Cattaraugus,Standard
ZIP Code 14139,Erie,Standard
ZIP Code 14140,Erie,P.O. Box
ZIP Code 14141,Erie,Standard
ZIP Code 14143,Genesee,Standard
ZIP Code 14144,Niagara,Standard
ZIP Code 14145,Wyoming,Standard
ZIP Code 14150,Erie,Standard
ZIP Code 14151,Erie,P.O. Box
ZIP Code 14166,Chautauqua,P.O. Box
ZIP Code 14167,Wyoming,Standard
ZIP Code 14168,Cattaraugus,P.O. Box
ZIP Code 14169,Erie,P.O. Box
ZIP Code 14170,Erie,Standard
ZIP Code 14171,Cattaraugus,Standard
ZIP Code 14172,Niagara,Standard
ZIP Code 14173,Cattaraugus,P.O. Box
ZIP Code 14174,Niagara,Standard
ZIP Code 14201,Erie,Standard
ZIP Code 14202,Erie,Standard
ZIP Code 14203,Erie,Standard
ZIP Code 14204,Erie,Standard
ZIP Code 14205,Erie,P.O. Box
ZIP Code 14206,Erie,Standard
ZIP Code 14207,Erie,Standard
ZIP Code 14208,Erie,Standard
ZIP Code 14209,Erie,Standard
ZIP Code 14210,Erie,Standard
ZIP Code 14211,Erie,Standard
ZIP Code 14212,Erie,Standard
ZIP Code 14213,Erie,Standard
ZIP Code 14214,Erie,Standard
ZIP Code 14215,Erie,Standard
ZIP Code 14216,Erie,Standard
ZIP Code 14217,Erie,Standard
ZIP Code 14218,Erie,Standard
ZIP Code 14219,Erie,Standard
ZIP Code 14220,Erie,Standard
ZIP Code 14221,Erie,Standard
ZIP Code 14222,Erie,Standard
ZIP Code 14223,Erie,Standard
ZIP Code 14224,Erie,Standard
ZIP Code 14225,Erie,Standard
ZIP Code 14226,Erie,Standard
ZIP Code 14227,Erie,Standard
ZIP Code 14228,Erie,Standard
ZIP Code 14231,Erie,P.O. Box
ZIP Code 14233,Erie,Unique
ZIP Code 14240,Erie,P.O. Box
ZIP Code 14241,Erie,Unique
ZIP Code 14260,Erie,Unique
ZIP Code 14261,Erie,Unique
ZIP Code 14263,Erie,Unique
ZIP Code 14264,Erie,Unique
ZIP Code 14265,Erie,Unique
ZIP Code 14267,Erie,Unique
ZIP Code 14269,Erie,Unique
ZIP Code 14270,Erie,Unique
ZIP Code 14272,Erie,Unique
ZIP Code 14273,Erie,Unique
ZIP Code 14276,Erie,Unique
ZIP Code 14280,Erie,Unique
ZIP Code 14301,Niagara,Standard
ZIP Code 14302,Niagara,P.O. Box
ZIP Code 14303,Niagara,Standard
ZIP Code 14304,Niagara,Standard
ZIP Code 14305,Niagara,Standard
ZIP Code 14410,Monroe,P.O. Box
ZIP Code 14411,Orleans,Standard
ZIP Code 14413,Wayne,P.O. Box
ZIP Code 14414,Livingston,Standard
ZIP Code 14415,Yates,Standard
ZIP Code 14416,Genesee,Standard
ZIP Code 14418,Yates,Standard
ZIP Code 14420,Monroe,Standard
ZIP Code 14422,Genesee,Standard
ZIP Code 14423,Livingston,Standard
ZIP Code 14424,Ontario,Standard
ZIP Code 14425,Ontario,Standard
ZIP Code 14427,Wyoming,Standard
ZIP Code 14428,Monroe,Standard
ZIP Code 14429,Orleans,P.O. Box
ZIP Code 14430,Monroe,P.O. Box
ZIP Code 14432,Ontario,Standard
ZIP Code 14433,Wayne,Standard
ZIP Code 14435,Livingston,Standard
ZIP Code 14437,Livingston,Standard
ZIP Code 14441,Yates,Standard
ZIP Code 14443,Ontario,P.O. Box
ZIP Code 14445,Monroe,Standard
ZIP Code 14449,Wayne,P.O. Box
ZIP Code 14450,Monroe,Standard
ZIP Code 14452,Orleans,P.O. Box
ZIP Code 14453,Ontario,P.O. Box
ZIP Code 14454,Livingston,Standard
ZIP Code 14456,Ontario,Standard
ZIP Code 14461,Ontario,P.O. Box
ZIP Code 14462,Livingston,Standard
ZIP Code 14463,Ontario,P.O. Box
ZIP Code 14464,Monroe,Standard
ZIP Code 14466,Livingston,Standard
ZIP Code 14467,Monroe,Standard
ZIP Code 14468,Monroe,Standard
ZIP Code 14469,Ontario,Standard
ZIP Code 14470,Orleans,Standard
ZIP Code 14471,Ontario,Standard
ZIP Code 14472,Monroe,Standard
ZIP Code 14475,Ontario,Standard
ZIP Code 14476,Orleans,Standard
ZIP Code 14477,Orleans,Standard
ZIP Code 14478,Yates,Standard
ZIP Code 14479,Orleans,Standard
ZIP Code 14480,Livingston,Standard
ZIP Code 14481,Livingston,Standard
ZIP Code 14482,Genesee,Standard
ZIP Code 14485,Livingston,Standard
ZIP Code 14486,Livingston,Standard
ZIP Code 14487,Livingston,Standard
ZIP Code 14488,Livingston,P.O. Box
ZIP Code 14489,Wayne,Standard
ZIP Code 14502,Wayne,Standard
ZIP Code 14504,Ontario,Standard
ZIP Code 14505,Wayne,Standard
ZIP Code 14506,Monroe,Standard
ZIP Code 14507,Yates,Standard
ZIP Code 14508,Monroe,P.O. Box
ZIP Code 14510,Livingston,Standard
ZIP Code 14511,Monroe,P.O. Box
ZIP Code 14512,Ontario,Standard
ZIP Code 14513,Wayne,Standard
ZIP Code 14514,Monroe,Standard
ZIP Code 14515,Monroe,P.O. Box
ZIP Code 14516,Wayne,Standard
ZIP Code 14517,Livingston,Standard
ZIP Code 14518,Ontario,P.O. Box
ZIP Code 14519,Wayne,Standard
ZIP Code 14520,Wayne,P.O. Box
ZIP Code 14521,Seneca,Standard
ZIP Code 14522,Wayne,Standard
ZIP Code 14525,Genesee,Standard
ZIP Code 14526,Monroe,Standard
ZIP Code 14527,Yates,Standard
ZIP Code 14529,Steuben,P.O. Box
ZIP Code 14530,Wyoming,Standard
ZIP Code 14532,Ontario,Standard
ZIP Code 14533,Livingston,Standard
ZIP Code 14534,Monroe,Standard
ZIP Code 14536,Wyoming,Standard
ZIP Code 14537,Ontario,P.O. Box
ZIP Code 14538,Wayne,P.O. Box
ZIP Code 14539,Livingston,P.O. Box
ZIP Code 14541,Seneca,Standard
ZIP Code 14542,Wayne,P.O. Box
ZIP Code 14543,Monroe,Standard
ZIP Code 14544,Yates,Standard
ZIP Code 14545,Livingston,Standard
ZIP Code 14546,Monroe,Standard
ZIP Code 14547,Ontario,P.O. Box
ZIP Code 14548,Ontario,Standard
ZIP Code 14549,Wyoming,P.O. Box
ZIP Code 14550,Wyoming,Standard
ZIP Code 14551,Wayne,Standard
ZIP Code 14555,Wayne,Standard
ZIP Code 14556,Livingston,P.O. Box
ZIP Code 14557,Genesee,P.O. Box
ZIP Code 14558,Livingston,P.O. Box
ZIP Code 14559,Monroe,Standard
ZIP Code 14560,Livingston,Standard
ZIP Code 14561,Ontario,Standard
ZIP Code 14563,Wayne,P.O. Box
ZIP Code 14564,Ontario,Standard
ZIP Code 14568,Wayne,Standard
ZIP Code 14569,Wyoming,Standard
ZIP Code 14571,Orleans,Standard
ZIP Code 14572,Steuben,Standard
ZIP Code 14580,Monroe,Standard
ZIP Code 14585,Ontario,Standard
ZIP Code 14586,Monroe,Standard
ZIP Code 14588,Seneca,P.O. Box
ZIP Code 14589,Wayne,Standard
ZIP Code 14590,Wayne,Standard
ZIP Code 14591,Wyoming,Standard
ZIP Code 14592,Livingston,P.O. Box
ZIP Code 14602,Monroe,P.O. Box
ZIP Code 14603,Monroe,P.O. Box
ZIP Code 14604,Monroe,Standard
ZIP Code 14605,Monroe,Standard
ZIP Code 14606,Monroe,Standard
ZIP Code 14607,Monroe,Standard
ZIP Code 14608,Monroe,Standard
ZIP Code 14609,Monroe,Standard
ZIP Code 14610,Monroe,Standard
ZIP Code 14611,Monroe,Standard
ZIP Code 14612,Monroe,Standard
ZIP Code 14613,Monroe,Standard
ZIP Code 14614,Monroe,Standard
ZIP Code 14615,Monroe,Standard
ZIP Code 14616,Monroe,Standard
ZIP Code 14617,Monroe,Standard
ZIP Code 14618,Monroe,Standard
ZIP Code 14619,Monroe,Standard
ZIP Code 14620,Monroe,Standard
ZIP Code 14621,Monroe,Standard
ZIP Code 14622,Monroe,Standard
ZIP Code 14623,Monroe,Standard
ZIP Code 14624,Monroe,Standard
ZIP Code 14625,Monroe,Standard
ZIP Code 14626,Monroe,Standard
ZIP Code 14627,Monroe,P.O. Box
ZIP Code 14638,Monroe,Unique
ZIP Code 14639,Monroe,Unique
ZIP Code 14642,Monroe,Unique
ZIP Code 14643,Monroe,Unique
ZIP Code 14644,Monroe,Unique
ZIP Code 14646,Monroe,Unique
ZIP Code 14647,Monroe,Unique
ZIP Code 14649,Monroe,Unique
ZIP Code 14650,Monroe,Unique
ZIP Code 14651,Monroe,Unique
ZIP Code 14652,Monroe,Unique
ZIP Code 14653,Monroe,Unique
ZIP Code 14692,Monroe,P.O. Box
ZIP Code 14694,Monroe,Unique
ZIP Code 14701,Chautauqua,Standard
ZIP Code 14702,Chautauqua,P.O. Box
ZIP Code 14706,Cattaraugus,Standard
ZIP Code 14707,Allegany,P.O. Box
ZIP Code 14708,Allegany,Standard
ZIP Code 14709,Allegany,Standard
ZIP Code 14710,Chautauqua,Standard
ZIP Code 14711,Allegany,Standard
ZIP Code 14712,Chautauqua,Standard
ZIP Code 14714,Allegany,Standard
ZIP Code 14715,Allegany,Standard
ZIP Code 14716,Chautauqua,Standard
ZIP Code 14717,Allegany,Standard
ZIP Code 14718,Chautauqua,Standard
ZIP Code 14719,Cattaraugus,Standard
ZIP Code 14720,Chautauqua,P.O. Box
ZIP Code 14721,Allegany,Standard
ZIP Code 14722,Chautauqua,P.O. Box
ZIP Code 14723,Chautauqua,Standard
ZIP Code 14724,Chautauqua,Standard
ZIP Code 14726,Cattaraugus,Standard
ZIP Code 14727,Allegany,Standard
ZIP Code 14728,Chautauqua,Standard
ZIP Code 14729,Cattaraugus,Standard
ZIP Code 14730,Cattaraugus,P.O. Box
ZIP Code 14731,Cattaraugus,Standard
ZIP Code 14732,Chautauqua,P.O. Box
ZIP Code 14733,Chautauqua,Standard
ZIP Code 14735,Allegany,Standard
ZIP Code 14736,Chautauqua,Standard
ZIP Code 14737,Cattaraugus,Standard
ZIP Code 14738,Chautauqua,Standard
ZIP Code 14739,Allegany,Standard
ZIP Code 14740,Chautauqua,Standard
ZIP Code 14741,Cattaraugus,Standard
ZIP Code 14742,Chautauqua,P.O. Box
ZIP Code 14743,Cattaraugus,Standard
ZIP Code 14744,Allegany,Standard
ZIP Code 14745,Allegany,P.O. Box
ZIP Code 14747,Chautauqua,Standard
ZIP Code 14748,Cattaraugus,Standard
ZIP Code 14750,Chautauqua,Standard
ZIP Code 14751,Cattaraugus,P.O. Box
ZIP Code 14752,Chautauqua,P.O. Box
ZIP Code 14753,Cattaraugus,Standard
ZIP Code 14754,Allegany,Standard
ZIP Code 14755,Cattaraugus,Standard
ZIP Code 14756,Chautauqua,P.O. Box
ZIP Code 14757,Chautauqua,Standard
